run_id	model	pool	n	correct	accuracy	self_wrong_count	baseline_file
qwen25_1p5b	Qwen/Qwen2.5-1.5B-Instruct	first200	200	138	0.69	62	gsm8k_baseline_train_first200_qwen25_1p5b_instruct.json
llama32_3b	meta-llama/Llama-3.2-3B-Instruct	first200	200	164	0.82	36	gsm8k_baseline_train_first200_llama32_3b_instruct.json
qwen3_1p7b	Qwen/Qwen3-1.7B	first200	200	149	0.745	51	gsm8k_baseline_train_first200_qwen3_1p7b.json
qwen3_4b_first200	Qwen/Qwen3-4B-Instruct-2507	first200	200	186	0.93	14	gsm8k_baseline_train_first200_qwen3_4b_instruct_2507.json
qwen3_4b	Qwen/Qwen3-4B-Instruct-2507	first400	400	366	0.915	34	gsm8k_baseline_train_first400_qwen3_4b_instruct_2507.json
