dataset	display_name	model	preset	readout_channels	gh_input_layernorm	gh_layers	vocab_mode	n_train	n_test	auc_mean	auc_std	recall_mean	recall_std	total_sec	source_artifact	time_artifact
grammars	Sentence transformations	Qwen/Qwen2.5-1.5B	ch1	rh	false	-	total_unique	900	100	0.9996234567901234	0.0011998382511699995	0.9904444444444445	0.022717807232039335	30.89115810394287	identification/scores/grammars_ch1.json	identification/scores/grammars_ch1_time.json
grammars	Sentence transformations	Qwen/Qwen2.5-1.5B	ch1-ch2	rh,gh	false	1-27	total_unique	900	100	1.0	1.1102230246251566e-17	1.0	0.0	555.0628650188446	identification/scores/grammars_ch1_ch2.json	identification/scores/grammars_ch1_ch2_time.json
grammars	Sentence transformations	Qwen/Qwen2.5-1.5B	ch1-ch2-inputln	rh,gh	true	1-27	total_unique	900	100	0.9999331961591221	0.00033794812297647603	0.9972222222222222	0.00934589102292262	441.0844569206238	identification/scores/grammars_ch1_ch2_inputln.json	identification/scores/grammars_ch1_ch2_inputln_time.json
math_without_reason	Math problems (w/o reasoning)	Qwen/Qwen2.5-1.5B	ch1	rh	false	-	total_unique	900	100	0.9999374485596707	0.0003544689912431342	0.9975555555555556	0.010838887465117505	15.093974828720093	identification/scores/math_without_reason_ch1.json	identification/scores/math_without_reason_ch1_time.json
math_without_reason	Math problems (w/o reasoning)	Qwen/Qwen2.5-1.5B	ch1-ch2	rh,gh	false	1-27	total_unique	900	100	1.0	3.845925372767128e-17	1.0	0.0	537.0661175251007	identification/scores/math_without_reason_ch1_ch2.json	identification/scores/math_without_reason_ch1_ch2_time.json
math_without_reason	Math problems (w/o reasoning)	Qwen/Qwen2.5-1.5B	ch1-ch2-inputln	rh,gh	true	1-27	total_unique	900	100	1.0	0.0	1.0	0.0	463.30984711647034	identification/scores/math_without_reason_ch1_ch2_inputln.json	identification/scores/math_without_reason_ch1_ch2_inputln_time.json
math_with_reason	Math problems (w/ reasoning)	Qwen/Qwen2.5-1.5B	ch1	rh	false	-	total_unique	900	100	0.9999729766803841	0.00013060332088065058	0.9982222222222222	0.007152656417524922	14.63840126991272	identification/scores/math_with_reason_ch1.json	identification/scores/math_with_reason_ch1_time.json
math_with_reason	Math problems (w/ reasoning)	Qwen/Qwen2.5-1.5B	ch1-ch2	rh,gh	false	1-27	total_unique	900	100	1.0	3.6821932062951476e-17	1.0	0.0	536.4297156333923	identification/scores/math_with_reason_ch1_ch2.json	identification/scores/math_with_reason_ch1_ch2_time.json
math_with_reason	Math problems (w/ reasoning)	Qwen/Qwen2.5-1.5B	ch1-ch2-inputln	rh,gh	true	1-27	total_unique	900	100	1.0	1.570092458683775e-17	1.0	0.0	463.44962787628174	identification/scores/math_with_reason_ch1_ch2_inputln.json	identification/scores/math_with_reason_ch1_ch2_inputln_time.json
